postTitle,postDetails,count,postLink
Reporting/analyticsTeams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!43Â·underÂ review,Teams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!,43,https://feedback.canny.io/feature-requests/feature-requests/p/reporting-analytics
Reporting/analyticsTeams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!43Â·underÂ review,Teams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!,43,https://feedback.canny.io/feature-requests/feature-requests/p/reporting-analytics
Reporting/analyticsTeams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!43Â·underÂ review,Teams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!,43,https://feedback.canny.io/feature-requests/feature-requests/p/reporting-analytics
Reporting/analyticsTeams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!43Â·underÂ review,Teams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!,43,https://feedback.canny.io/feature-requests/feature-requests/p/reporting-analytics
Reporting/analyticsTeams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!43Â·underÂ review,Teams would like a nice overview of what's happening in Canny. Let us know what specific data you're interested in seeing!,43,https://feedback.canny.io/feature-requests/feature-requests/p/reporting-analytics
Show votes grouped by companyDisplay both votes by users and votes by users' companies.7Â·underÂ review,Display both votes by users and votes by users' companies.,7,https://feedback.canny.io/feature-requests/feature-requests/p/show-votes-grouped-by-company
Show votes grouped by companyDisplay both votes by users and votes by users' companies.7Â·underÂ review,Display both votes by users and votes by users' companies.,7,https://feedback.canny.io/feature-requests/feature-requests/p/show-votes-grouped-by-company
Show votes grouped by companyDisplay both votes by users and votes by users' companies.7Â·underÂ review,Display both votes by users and votes by users' companies.,7,https://feedback.canny.io/feature-requests/feature-requests/p/show-votes-grouped-by-company
Show votes grouped by companyDisplay both votes by users and votes by users' companies.7Â·underÂ review,Display both votes by users and votes by users' companies.,7,https://feedback.canny.io/feature-requests/feature-requests/p/show-votes-grouped-by-company
Show votes grouped by companyDisplay both votes by users and votes by users' companies.7Â·underÂ review,Display both votes by users and votes by users' companies.,7,https://feedback.canny.io/feature-requests/feature-requests/p/show-votes-grouped-by-company
Audit logTo track account history when changes are made. Example: Merging posts4,To track account history when changes are made. Example: Merging posts,4,https://feedback.canny.io/feature-requests/feature-requests/p/audit-log
Audit logTo track account history when changes are made. Example: Merging posts4,To track account history when changes are made. Example: Merging posts,4,https://feedback.canny.io/feature-requests/feature-requests/p/audit-log
Audit logTo track account history when changes are made. Example: Merging posts4,To track account history when changes are made. Example: Merging posts,4,https://feedback.canny.io/feature-requests/feature-requests/p/audit-log
Audit logTo track account history when changes are made. Example: Merging posts4,To track account history when changes are made. Example: Merging posts,4,https://feedback.canny.io/feature-requests/feature-requests/p/audit-log
Audit logTo track account history when changes are made. Example: Merging posts4,To track account history when changes are made. Example: Merging posts,4,https://feedback.canny.io/feature-requests/feature-requests/p/audit-log
